country,year,EN.ATM.CO2E.KT,EN.ATM.CO2E.PC
World,2021,,
World,2020,,
World,2019,34344006.072096,4.43567311234666
World,2018,34289350.6607638,4.47537870437426
World,2017,33514537.9111935,4.42251792768941
World,2016,33018556.3991596,4.40721393182914
World,2015,32995536.0200883,4.45589913252508
World,2014,33198729.8204723,4.5368896630102
World,2013,33119382.9903457,4.581344238302
World,2012,32460316.8599246,4.54569260266879
World,2011,32021108.2567955,4.53972593137246
World,2010,31043476.9820017,4.45410567200078
World,2009,29267375.1851199,4.25058662733389
World,2008,29595752.3971559,4.35141529969183
World,2007,29368779.2020021,4.37188828794566
World,2006,28302931.6563452,4.26574321147095
World,2005,27414328.0228544,4.18375102507342
World,2004,26434355.2603611,4.08516245196244
World,2003,25285349.2444045,3.95740055830109
World,2002,24165261.2571346,3.83083481124684
World,2001,23845771.4451802,3.82982188806873
World,2000,23445433.273458,3.81578807455953
World,1999,22720117.5927627,3.74778319404617
World,1998,22613709.0352267,3.78172721660205
World,1997,22492054.3625593,3.81474861249341
World,1996,22110607.5099802,3.80454822244103
World,1995,21652838.8483425,3.78096527167583
World,1994,21052949.1017646,3.73138401875804
World,1993,20937123.2839878,3.76789072057779
World,1992,20796958.4334364,3.80181088360468
World,1991,20766900.8941382,3.85811403206164
World,1990,20625272.9741495,3.89632685053644
World,1989,,
World,1988,,
World,1987,,
World,1986,,
World,1985,,
World,1984,,
World,1983,,
World,1982,,
World,1981,,
World,1980,,
World,1979,,
World,1978,,
World,1977,,
World,1976,,
World,1975,,
World,1974,,
World,1973,,
World,1972,,
World,1971,,
World,1970,,
World,1969,,
World,1968,,
World,1967,,
World,1966,,
World,1965,,
World,1964,,
World,1963,,
World,1962,,
World,1961,,
World,1960,,
